make_question_id,teacher_id,question_name,description,answer,image,hint,made_date,upload_check
1,1,크리스마스 전구 연결하기,"빨간색과 파란색으로 구성된 크리스마스 전구를 크리스마스트리에 설치하다가 파란색 전구 한 개가 빠져버렸습니다. 크리스마스 전구를 작동시켜보니, 파란색 전구는 모두 불이 들어오지 않았지만, 빨간색 전구는 불이 들어왔습니다. 크리스마스 전구가 모두 고장 나지 않고 빨간색 전구에는 불이 들어온 이유를 전기의 작용과 전구의 연결 방법에 관한 지식을 활용하여 자세하게 설명해 봅시다.",파란색 전구들과 빨간색 전구들은 병렬로 연결되어 파란색 전구 하나가 고장나더라도 병렬로 연결된 다른 줄의 빨간색 전구들에는 전류가 흐를 수 있었기 때문이다.,makequestion/image/make_question_1.png,"파란색 전구 하나 때문에 파란색 전구들이 모두 불이 들어지 않는 이유는 파란색 전구끼리는 하나의 길로 연결되었기 때문이겠죠. 그렇다면, 파란색 전구들과 빨간색 전구들은 어떻게 연결되었을지 과학적 용어를 떠올리며 조금 더 생각을 발전시켜 볼까요?",2020-04-11,0
2,2,목욕물 온도 확인하기,"현진이는 목욕을 하기 위해 먼저 차가운 물을 틀고, 뜨거운 물었습니다. 물 표면에 손을 살짝 넣어보니 물이 따뜻하여 들어가니 물이 여전히 차가웠습니다. 그러자 이를 본 어머니께서 목욕물이 골고루 따뜻해지기 위해서는 먼저 뜨거운 물을 틀고 차가운 물을 틀어야 한다고 말씀 하였습니다. 왜 뜨거운 물과 차가운 물이 골고루 섞이기 위해서 뜨거운 물을 먼저 틀어야 하는지 열의 이동에 관한 지식을 활용하여 자세하게 설명해 봅시다.","액체에서는 따뜻한 액체가 위로 올라가고, 차가운 액체가 아래로 내려가며 열이 전달된다. 그러므로 뜨거운 물을 먼저 특고 나중에 차가운 물을 틀어야 아래에 있는 뜨거운 물이 위로 올라가면서 뜨거운 물과 차가운 물이 골고루 섞일 수 있게 된다.",makequestion/image/make_question_2.png,따뜻한 물과 차가운 물이 어디로 이동할까요? 조금 더 생각을 발전시켜 볼까요?,2020-04-12,1
3,3,헤어 스프레이가 찰랑거리는 이유,"멋진 헤어스타일을 만들기 위해서는 헤어 스프레이를 사용하곤 합니다. 헤어 스프레이는 통 안에서는 액체 상태로 존재하여 흔들면 소리가 나지만, 머리에 뿌릴 때는 밖으로 나오면서 기체가 됩니다. 이처럼 기체로 사용하는 물질을 액체 상태로 보관하는 이유는 무엇일까요? 과학적으로 설명해봅시다.",물질의 상태가 변할 때 물질을 이루는 입자의 종류와 개수는 변하지 않고 입자의 배열만 달라집니다. 헤어 스프레이가 액화하면 입자 사이의 거리가 가까워져 부피가 크게 줄어듭니다. 그렇기 때문에 보관이 용이해집니다.,makequestion/image/make_question_3.png,기체 상태와 액체 상태에는 어떠한 차이가 있을까요?,2020-04-14,1
4,4,무역을 하는 이유,"우리나라는 해외로 김, 인삼, 스마트폰 등을 많이 수출하고 커피, 바나나, 원유 등은 다른 나라로부터 수입을 합니다. 이처럼 서로 다른 나라끼리 다양한 물건을 사고파는 이유는 무엇일까요?","나라마다 가진 자원이 다르기 때문입니다.
나라마다 가진 기술이 다르기 때문입니다.
나라마다 필요로 하는 물건이 다르기 때문입니다.
무역을 통해 각 나라가 필요로 하는 것을 얻을 수 있기 때문입니다. 
무역을 통해 각 나라가 돈을 벌 수 있기 때문입니다.",makequestion/image/make_question_4.png,"우리나라에서 많이 생산하는 것에는 어떤 것이 있나요?
우리나라에서 전혀 생산되지 않는 것에는 어떤 것이 있나요?",2020-04-14,0
5,5,식물 뿌리의 기능,식목일을 맞아 태훈이와 태호는 아빠와 함께 마을 뒷산에 나무를 하나 심으러 가기로 했습니다. 식물을 흙 위에 살짝 올려만 놓으려고하는 태호에게 아빠는 눈에는 안보여도 뿌리가 식물이 자라는데 아주 중요한 역할을 하니 깊게 잘 심어주어야 한다고 하셨습니다. 굳이 그렇게 뿌리까지 신경 쓰며 심어야 하는지 귀찮아지기 시작한 태호는 불만이 많습니다. 이 모습을 지켜보던 태훈이는 동생인 태호에게 아빠는 왜 뿌리까지 신경을 쓰시며 잘 심으려고 하신 것일지 알려주려고 합니다. 여러분이 태훈이가 되어서 다양한 식물에서 뿌리가 하는 일들에 대해서 설명해보세요.    ,"식물의 뿌리는 식물체를 지지 및 고정해주는 역할, 양분을 저장하는 역할, 토양속의 물과 무기염류를 식물체로 이동시키는 역할을 한다. ",makequestion/image/make_question_5.png,"뿌리가 깊은 나무는 태풍이 불어와도 꿋꿋하게 버티는 경우가 많은데 왜 그럴까요?
화분 식물을 심고 나서 스프레이로 잎에만 물을 주게 되면 식물이 잘 크지 못해서 뿌리까지 젖도록 물을 주라고 하는 이유는 무엇일까요?
무와 고구마는 유명한 뿌리식물로 알려져 있습니다. 무와 고구마와 같은 식물의 뿌리는 왜 다른 식물의 뿌리보다 클까요?",2020-04-21,1
6,6,크리스마스 전구 연결하기,"빨간색과 파란색으로 구성된 크리스마스 전구를 크리스마스트리에 설치하다가 파란색 전구 한 개가 빠져버렸습니다. 크리스마스 전구를 작동시켜보니, 파란색 전구는 모두 불이 들어오지 않았지만, 빨간색 전구는 불이 들어왔습니다. 크리스마스 전구가 모두 고장 나지 않고 빨간색 전구에는 불이 들어온 이유를 전기의 작용과 전구의 연결 방법에 관한 지식을 활용하여 자세하게 설명해 봅시다.",파란색 전구들과 빨간색 전구들은 병렬로 연결되어 파란색 전구 하나가 고장나더라도 병렬로 연결된 다른 줄의 빨간색 전구들에는 전류가 흐를 수 있었기 때문이다.,makequestion/image/make_question_1.png,"파란색 전구 하나 때문에 파란색 전구들이 모두 불이 들어지 않는 이유는 파란색 전구끼리는 하나의 길로 연결되었기 때문이겠죠. 그렇다면, 파란색 전구들과 빨간색 전구들은 어떻게 연결되었을지 과학적 용어를 떠올리며 조금 더 생각을 발전시켜 볼까요?",2020-05-21,1
7,7,목욕물 온도 확인하기,"현진이는 목욕을 하기 위해 먼저 차가운 물을 틀고, 뜨거운 물었습니다. 물 표면에 손을 살짝 넣어보니 물이 따뜻하여 들어가니 물이 여전히 차가웠습니다. 그러자 이를 본 어머니께서 목욕물이 골고루 따뜻해지기 위해서는 먼저 뜨거운 물을 틀고 차가운 물을 틀어야 한다고 말씀 하였습니다. 왜 뜨거운 물과 차가운 물이 골고루 섞이기 위해서 뜨거운 물을 먼저 틀어야 하는지 열의 이동에 관한 지식을 활용하여 자세하게 설명해 봅시다.","액체에서는 따뜻한 액체가 위로 올라가고, 차가운 액체가 아래로 내려가며 열이 전달된다. 그러므로 뜨거운 물을 먼저 특고 나중에 차가운 물을 틀어야 아래에 있는 뜨거운 물이 위로 올라가면서 뜨거운 물과 차가운 물이 골고루 섞일 수 있게 된다.",makequestion/image/make_question_6.png,따뜻한 물과 차가운 물이 어디로 이동할까요? 조금 더 생각을 발전시켜 볼까요?,2020-04-12,0
8,8,헤어 스프레이가 찰랑거리는 이유,"멋진 헤어스타일을 만들기 위해서는 헤어 스프레이를 사용하곤 합니다. 헤어 스프레이는 통 안에서는 액체 상태로 존재하여 흔들면 소리가 나지만, 머리에 뿌릴 때는 밖으로 나오면서 기체가 됩니다. 이처럼 기체로 사용하는 물질을 액체 상태로 보관하는 이유는 무엇일까요? 과학적으로 설명해봅시다.",물질의 상태가 변할 때 물질을 이루는 입자의 종류와 개수는 변하지 않고 입자의 배열만 달라집니다. 헤어 스프레이가 액화하면 입자 사이의 거리가 가까워져 부피가 크게 줄어듭니다. 그렇기 때문에 보관이 용이해집니다.,makequestion/image/make_question_3.png,기체 상태와 액체 상태에는 어떠한 차이가 있을까요?,2020-04-13,0
9,9,무역을 하는 이유,"우리나라는 해외로 김, 인삼, 스마트폰 등을 많이 수출하고 커피, 바나나, 원유 등은 다른 나라로부터 수입을 합니다. 이처럼 서로 다른 나라끼리 다양한 물건을 사고파는 이유는 무엇일까요?","나라마다 가진 자원이 다르기 때문입니다.
나라마다 가진 기술이 다르기 때문입니다.
나라마다 필요로 하는 물건이 다르기 때문입니다.
무역을 통해 각 나라가 필요로 하는 것을 얻을 수 있기 때문입니다. 
무역을 통해 각 나라가 돈을 벌 수 있기 때문입니다.",makequestion/image/make_question_4.png,"우리나라에서 많이 생산하는 것에는 어떤 것이 있나요?
우리나라에서 전혀 생산되지 않는 것에는 어떤 것이 있나요?",2020-04-14,1
10,10,식물 뿌리의 기능,식목일을 맞아 태훈이와 태호는 아빠와 함께 마을 뒷산에 나무를 하나 심으러 가기로 했습니다. 식물을 흙 위에 살짝 올려만 놓으려고하는 태호에게 아빠는 눈에는 안보여도 뿌리가 식물이 자라는데 아주 중요한 역할을 하니 깊게 잘 심어주어야 한다고 하셨습니다. 굳이 그렇게 뿌리까지 신경 쓰며 심어야 하는지 귀찮아지기 시작한 태호는 불만이 많습니다. 이 모습을 지켜보던 태훈이는 동생인 태호에게 아빠는 왜 뿌리까지 신경을 쓰시며 잘 심으려고 하신 것일지 알려주려고 합니다. 여러분이 태훈이가 되어서 다양한 식물에서 뿌리가 하는 일들에 대해서 설명해보세요.    ,"식물의 뿌리는 식물체를 지지 및 고정해주는 역할, 양분을 저장하는 역할, 토양속의 물과 무기염류를 식물체로 이동시키는 역할을 한다. ",makequestion/image/make_question_5.png,"뿌리가 깊은 나무는 태풍이 불어와도 꿋꿋하게 버티는 경우가 많은데 왜 그럴까요?
화분 식물을 심고 나서 스프레이로 잎에만 물을 주게 되면 식물이 잘 크지 못해서 뿌리까지 젖도록 물을 주라고 하는 이유는 무엇일까요?
무와 고구마는 유명한 뿌리식물로 알려져 있습니다. 무와 고구마와 같은 식물의 뿌리는 왜 다른 식물의 뿌리보다 클까요?",2020-04-15,1
